tripId,duration,endLat,endLon,startLat,startLon,startTime,dayofweek,normTime
1,00:02:08,37.786955999999996,-122.440279,37.782551,-122.44536799999999,2007-01-07 10:54:50+00:00,6,0.9223001523137299
2,00:02:28,37.800065999999994,-122.436167,37.800224,-122.43352,2007-01-06 06:22:35+00:00,5,0.752398403765341
3,00:02:30,37.785292,-122.416257,37.784345,-122.422922,2007-01-02 05:59:02+00:00,1,0.17851301447228501
4,00:05:36,37.790738,-122.38961599999999,37.780666,-122.390374,2007-01-06 08:41:27+00:00,5,0.766177752272716
5,00:06:40,37.782286,-122.43926599999999,37.779447999999995,-122.438702,2007-01-02 03:50:16+00:00,1,0.1657358605394982
6,00:02:48,37.802729,-122.428751,37.797847,-122.42938799999999,2007-01-04 01:04:18+00:00,3,0.4350417498383424
7,00:02:22,37.759337,-122.41486200000001,37.766104,-122.409291,2007-01-07 16:08:44+00:00,6,0.9534475658744478
8,00:09:18,37.750493,-122.44414099999999,37.773187,-122.421922,2007-01-03 00:52:02+00:00,2,0.2909374157602539
9,00:05:12,37.785839,-122.39315900000001,37.790859000000005,-122.40280800000001,2007-01-07 05:05:40+00:00,6,0.8876533266740867
10,00:03:28,37.78566,-122.40126699999999,37.782651,-122.400628,2007-01-04 21:01:26+00:00,3,0.5538299212963039
11,00:02:44,37.799209000000005,-122.420607,37.803986,-122.42603500000001,2007-01-06 09:06:36+00:00,5,0.7686733159906264
12,00:00:06,37.795203,-122.400304,37.795656,-122.40039499999999,2007-01-04 23:17:01+00:00,3,0.5672834738776165
13,00:04:52,37.785346000000004,-122.40069199999999,37.778738,-122.41558400000001,2007-01-04 09:59:20+00:00,3,0.48813160170869213
14,00:04:04,37.764681,-122.426649,37.765769,-122.407201,2007-01-02 05:15:37+00:00,1,0.17420490083069692
15,00:07:32,37.748175,-122.41772900000001,37.782012,-122.4042,2007-01-01 17:16:32+00:00,0,0.1028522854501524
16,00:04:36,37.774157,-122.40903300000001,37.786237,-122.40100600000001,2007-01-04 14:05:21+00:00,3,0.5125431431534069
17,00:09:24,37.731761999999996,-122.445163,37.770015,-122.42238600000002,2007-01-07 05:49:42+00:00,6,0.8920226304134632
18,00:07:20,37.792464,-122.39133400000001,37.789648,-122.412077,2007-01-02 05:57:50+00:00,1,0.17839394184956167
19,00:00:00,37.790895,-122.41739199999999,37.790895,-122.41739199999999,2007-01-01 08:02:48+00:00,0,0.04790688520903034
20,00:04:08,37.78906,-122.40212700000001,37.797036,-122.40563200000001,2007-01-06 02:50:44+00:00,5,0.7313771244953884
21,00:04:24,37.786888,-122.406951,37.786077,-122.412852,2007-01-06 04:32:24+00:00,5,0.7414652216983394
22,00:04:20,37.770263,-122.42551599999999,37.781713,-122.423327,2007-01-04 04:39:49+00:00,3,0.4564268621221718
23,00:02:52,37.788090999999994,-122.44028999999999,37.782268,-122.43247,2007-01-05 06:09:26+00:00,4,0.6082064190066366
24,00:02:52,37.781174,-122.417093,37.771139,-122.408305,2007-01-06 06:48:57+00:00,5,0.7550146938924014
25,00:03:40,37.760157,-122.394297,37.77722,-122.39473500000001,2007-01-02 00:45:10+00:00,1,0.1473689084844205
26,00:12:32,37.763189000000004,-122.43460900000001,37.791323999999996,-122.42246399999999,2007-01-07 07:05:36+00:00,6,0.8995539738007154
27,00:04:56,37.789131,-122.388019,37.781642,-122.39028200000001,2007-01-06 01:06:11+00:00,5,0.721002922240616
28,00:06:42,37.772007,-122.42334,37.79166,-122.41755900000001,2007-01-06 10:19:28+00:00,5,0.7759036702482168
29,00:08:00,37.783106,-122.413959,37.766333,-122.402046,2007-01-03 20:37:32+00:00,2,0.4085712442923696
30,00:03:30,37.789237,-122.391972,37.787769,-122.39958,2007-01-03 22:34:40+00:00,2,0.42019405529931053
31,00:07:36,37.788045000000004,-122.42359499999999,37.774975,-122.41327,2007-01-04 16:18:41+00:00,3,0.5257734345671131
32,00:04:00,37.795874,-122.401973,37.791841999999995,-122.41671200000002,2007-01-03 03:15:10+00:00,2,0.30514013359286757
33,00:10:08,37.787865000000004,-122.39521,37.795722,-122.423675,2007-01-06 04:04:55+00:00,5,0.7387381278806893
34,00:03:12,37.768521,-122.405045,37.770746,-122.41264199999999,2007-01-04 06:08:52+00:00,3,0.4652630430001009
35,00:04:08,37.779607,-122.415136,37.794336,-122.418095,2007-01-06 09:00:19+00:00,5,0.7680498385077554
36,00:02:56,37.775137,-122.413351,37.771233,-122.40881100000001,2007-01-06 01:22:46+00:00,5,0.7226484397351958
37,00:02:54,37.780665,-122.390627,37.784542,-122.395549,2007-01-06 06:03:19+00:00,5,0.7504866266560604
38,00:05:36,37.759204,-122.432625,37.771276,-122.411758,2007-01-07 16:00:50+00:00,6,0.9526636711081857
39,00:05:20,37.793123,-122.402864,37.796448999999996,-122.397026,2007-01-06 07:29:18+00:00,5,0.7590185108314742
